county_state,year,population
"LOUDON, TENNESSEE",2020,55144
"LOUDON, TENNESSEE",2021,56833
"LOUDON, TENNESSEE",2022,58286
"LOUDON, TENNESSEE",2023,60699
"LOUDON, TENNESSEE",2024,62642
"LOUDON, TENNESSEE",2025,63764
"MACON, TENNESSEE",2016,23340
"MACON, TENNESSEE",2017,23905
"MACON, TENNESSEE",2018,24289
"MACON, TENNESSEE",2019,24602
"MACON, TENNESSEE",2020,25260
"MACON, TENNESSEE",2021,25670
"MACON, TENNESSEE",2022,26222
"MACON, TENNESSEE",2023,26868
"MACON, TENNESSEE",2024,27292
"MACON, TENNESSEE",2025,27663
"MADISON, TENNESSEE",2016,97478
"MADISON, TENNESSEE",2017,97491
"MADISON, TENNESSEE",2018,97603
"MADISON, TENNESSEE",2019,97984
"MADISON, TENNESSEE",2020,98832
"MADISON, TENNESSEE",2021,98591
"MADISON, TENNESSEE",2022,99283
"MADISON, TENNESSEE",2023,99518
"MADISON, TENNESSEE",2024,100267
"MADISON, TENNESSEE",2025,100790
"MARION, TENNESSEE",2016,28383
"MARION, TENNESSEE",2017,28406
"MARION, TENNESSEE",2018,28598
"MARION, TENNESSEE",2019,28907
"MARION, TENNESSEE",2020,28874
"MARION, TENNESSEE",2021,28923
"MARION, TENNESSEE",2022,29061
"MARION, TENNESSEE",2023,29393
"MARION, TENNESSEE",2024,29761
"MARION, TENNESSEE",2025,29804
"MARSHALL, TENNESSEE",2016,32035
"MARSHALL, TENNESSEE",2017,33020
"MARSHALL, TENNESSEE",2018,33806
"MARSHALL, TENNESSEE",2019,34375
"MARSHALL, TENNESSEE",2020,34467
"MARSHALL, TENNESSEE",2021,35050
"MARSHALL, TENNESSEE",2022,35857
"MARSHALL, TENNESSEE",2023,37048
"MARSHALL, TENNESSEE",2024,37882
"MARSHALL, TENNESSEE",2025,38071
"MAURY, TENNESSEE",2016,89556
"MAURY, TENNESSEE",2017,92237
"MAURY, TENNESSEE",2018,94273
"MAURY, TENNESSEE",2019,96387
"MAURY, TENNESSEE",2020,101812
"MAURY, TENNESSEE",2021,105005
"MAURY, TENNESSEE",2022,108048
"MAURY, TENNESSEE",2023,111022
"MAURY, TENNESSEE",2024,114456
"MAURY, TENNESSEE",2025,118131
"MCMINN, TENNESSEE",2016,52700
"MCMINN, TENNESSEE",2017,52931
"MCMINN, TENNESSEE",2018,53336
"MCMINN, TENNESSEE",2019,53794
"MCMINN, TENNESSEE",2020,53347
"MCMINN, TENNESSEE",2021,53940
"MCMINN, TENNESSEE",2022,54732
"MCMINN, TENNESSEE",2023,55814
"MCMINN, TENNESSEE",2024,56732
"MCMINN, TENNESSEE",2025,57404
"MCNAIRY, TENNESSEE",2016,25832
"MCNAIRY, TENNESSEE",2017,26001
"MCNAIRY, TENNESSEE",2018,25830
"MCNAIRY, TENNESSEE",2019,25694
"MCNAIRY, TENNESSEE",2020,25868
"MCNAIRY, TENNESSEE",2021,25858
"MCNAIRY, TENNESSEE",2022,25968
"MCNAIRY, TENNESSEE",2023,26066
"MCNAIRY, TENNESSEE",2024,26137
"MCNAIRY, TENNESSEE",2025,26236
"MEIGS, TENNESSEE",2016,11953
"MEIGS, TENNESSEE",2017,12042
"MEIGS, TENNESSEE",2018,12297
"MEIGS, TENNESSEE",2019,12422
"MEIGS, TENNESSEE",2020,12808
"MEIGS, TENNESSEE",2021,13030
"MEIGS, TENNESSEE",2022,13268
"MEIGS, TENNESSEE",2023,13695
"MEIGS, TENNESSEE",2024,13990
"MEIGS, TENNESSEE",2025,14186
"MONROE, TENNESSEE",2016,45848
"MONROE, TENNESSEE",2017,46035
"MONROE, TENNESSEE",2018,46269
"MONROE, TENNESSEE",2019,46545
"MONROE, TENNESSEE",2020,46399
"MONROE, TENNESSEE",2021,46665
"MONROE, TENNESSEE",2022,47719
"MONROE, TENNESSEE",2023,48601
"MONROE, TENNESSEE",2024,49338
"MONROE, TENNESSEE",2025,49730
"MONTGOMERY, TENNESSEE",2016,194424
"MONTGOMERY, TENNESSEE",2017,199771
"MONTGOMERY, TENNESSEE",2018,205312
"MONTGOMERY, TENNESSEE",2019,208993
"MONTGOMERY, TENNESSEE",2020,221286
"MONTGOMERY, TENNESSEE",2021,227781
"MONTGOMERY, TENNESSEE",2022,235141
"MONTGOMERY, TENNESSEE",2023,240192
"MONTGOMERY, TENNESSEE",2024,246281
"MONTGOMERY, TENNESSEE",2025,249935
"MOORE, TENNESSEE",2016,6293
"MOORE, TENNESSEE",2017,6391
"MOORE, TENNESSEE",2018,6457
"MOORE, TENNESSEE",2019,6488
"MOORE, TENNESSEE",2020,6472
"MOORE, TENNESSEE",2021,6654
"MOORE, TENNESSEE",2022,6726
"MOORE, TENNESSEE",2023,6802
"MOORE, TENNESSEE",2024,6822
