BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
15-JUN-16,16:57:00,15-JUN-16,17:00:00,105138,640636,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.0454,-86.6066,35.0454,-86.6066,False,False,0.2985967408173823
15-JUN-16,16:57:00,15-JUN-16,17:00:00,105138,640637,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.15,-86.59,35.15,-86.59,False,False,0.2985967408173823
15-JUN-16,17:05:00,15-JUN-16,17:08:00,105138,640639,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.07,-86.64,35.07,-86.64,False,True,0.7530069839627522
15-JUN-16,17:05:00,15-JUN-16,17:08:00,105138,640640,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.0706,-86.7574,35.0706,-86.7574,False,False,0.2985967408173823
15-JUN-16,17:15:00,15-JUN-16,17:18:00,105138,640642,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.01,-86.53,35.01,-86.53,False,False,0.2985967408173823
15-JUN-16,16:55:00,15-JUN-16,16:58:00,105138,640643,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.1052,-86.6889,35.1052,-86.6889,False,False,0.2985967408173823
15-JUN-16,17:15:00,15-JUN-16,17:18:00,105138,640644,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.037,-86.5291,35.037,-86.5291,False,False,0.2985967408173823
10-FEB-16,19:00:00,11-FEB-16,00:00:00,103830,620892,Winter Weather,"CHEATHAM, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
10-FEB-16,19:00:00,11-FEB-16,00:00:00,103830,620893,Winter Weather,"DAVIDSON, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
17-DEC-16,23:18:00,17-DEC-16,23:18:00,112568,671604,Thunderstorm Wind,"WILSON, TENNESSEE",CST-6,0,0,0,0,10,0,36.2736,-86.5112,36.2736,-86.5112,False,False,0.6088980858768753
17-DEC-16,23:14:00,17-DEC-16,23:14:00,112568,671562,Thunderstorm Wind,"SUMNER, TENNESSEE",CST-6,0,0,0,0,1000,0,36.2699,-86.5824,36.2699,-86.5824,False,False,0.6811627004655976
22-JAN-16,04:00:00,23-JAN-16,14:00:00,102472,612391,Heavy Snow,"CAMPBELL, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,08:00:00,23-JAN-16,06:00:00,102472,612395,Heavy Snow,"CARTER, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,15:00:00,23-JAN-16,23:00:00,102472,612404,Heavy Snow,"COCKE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,15:00:00,23-JAN-16,23:00:00,102472,612405,Heavy Snow,"COCKE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
31-MAR-16,19:43:00,31-MAR-16,19:43:00,104062,622531,Hail,"MOORE, TENNESSEE",CST-6,0,0,0,0,0,0,35.2288,-86.3916,35.2288,-86.3916,False,False,0.2985967408173823
