county_state,year,population
"FENTRESS COUNTY, TENNESSEE",2024,20021
"FENTRESS COUNTY, TENNESSEE",2025,20322
"FRANKLIN COUNTY, TENNESSEE",2016,41518
"FRANKLIN COUNTY, TENNESSEE",2017,41623
"FRANKLIN COUNTY, TENNESSEE",2018,41935
"FRANKLIN COUNTY, TENNESSEE",2019,42208
"FRANKLIN COUNTY, TENNESSEE",2020,42842
"FRANKLIN COUNTY, TENNESSEE",2021,43197
"FRANKLIN COUNTY, TENNESSEE",2022,44166
"FRANKLIN COUNTY, TENNESSEE",2023,44724
"FRANKLIN COUNTY, TENNESSEE",2024,45191
"FRANKLIN COUNTY, TENNESSEE",2025,45579
"GIBSON COUNTY, TENNESSEE",2016,49250
"GIBSON COUNTY, TENNESSEE",2017,49255
"GIBSON COUNTY, TENNESSEE",2018,49171
"GIBSON COUNTY, TENNESSEE",2019,49133
"GIBSON COUNTY, TENNESSEE",2020,50443
"GIBSON COUNTY, TENNESSEE",2021,50499
"GIBSON COUNTY, TENNESSEE",2022,50891
"GIBSON COUNTY, TENNESSEE",2023,51245
"GIBSON COUNTY, TENNESSEE",2024,51645
"GIBSON COUNTY, TENNESSEE",2025,51779
"GILES COUNTY, TENNESSEE",2016,29165
"GILES COUNTY, TENNESSEE",2017,29379
"GILES COUNTY, TENNESSEE",2018,29446
"GILES COUNTY, TENNESSEE",2019,29464
"GILES COUNTY, TENNESSEE",2020,30346
"GILES COUNTY, TENNESSEE",2021,30428
"GILES COUNTY, TENNESSEE",2022,30572
"GILES COUNTY, TENNESSEE",2023,30879
"GILES COUNTY, TENNESSEE",2024,31016
"GILES COUNTY, TENNESSEE",2025,31433
"GRAINGER COUNTY, TENNESSEE",2016,23095
"GRAINGER COUNTY, TENNESSEE",2017,23106
"GRAINGER COUNTY, TENNESSEE",2018,23137
"GRAINGER COUNTY, TENNESSEE",2019,23320
"GRAINGER COUNTY, TENNESSEE",2020,23572
"GRAINGER COUNTY, TENNESSEE",2021,23794
"GRAINGER COUNTY, TENNESSEE",2022,24208
"GRAINGER COUNTY, TENNESSEE",2023,24713
"GRAINGER COUNTY, TENNESSEE",2024,25098
"GRAINGER COUNTY, TENNESSEE",2025,25739
"GREENE COUNTY, TENNESSEE",2016,68529
"GREENE COUNTY, TENNESSEE",2017,68821
"GREENE COUNTY, TENNESSEE",2018,69164
"GREENE COUNTY, TENNESSEE",2019,69069
"GREENE COUNTY, TENNESSEE",2020,70339
"GREENE COUNTY, TENNESSEE",2021,70582
"GREENE COUNTY, TENNESSEE",2022,71286
"GREENE COUNTY, TENNESSEE",2023,72518
"GREENE COUNTY, TENNESSEE",2024,73345
"GREENE COUNTY, TENNESSEE",2025,73831
"GRUNDY COUNTY, TENNESSEE",2016,13276
"GRUNDY COUNTY, TENNESSEE",2017,13332
"GRUNDY COUNTY, TENNESSEE",2018,13348
"GRUNDY COUNTY, TENNESSEE",2019,13427
"GRUNDY COUNTY, TENNESSEE",2020,13541
"GRUNDY COUNTY, TENNESSEE",2021,13577
"GRUNDY COUNTY, TENNESSEE",2022,13787
"GRUNDY COUNTY, TENNESSEE",2023,13954
"GRUNDY COUNTY, TENNESSEE",2024,14118
"GRUNDY COUNTY, TENNESSEE",2025,14116
