YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201612,112568,671629,1,1.53,S,TANGLEWOOD,36.2579,-85.9809,3615474,8558854
201612,112568,671632,1,0.6,ESE,LORETTO,35.0771,-87.4401,354626,8726406
201612,112568,671636,1,0.25,WNW,LAWRENCEBURG,35.251,-87.3343,3515060,8720058
201612,112568,671638,1,1.49,SSE,LONG BRANCH,35.15,-87.42,359000,8725200
201612,112568,671644,1,0.46,W,MC COINSVILLE,36.3204,-85.6382,3619224,8538292
201612,112568,671645,1,0.74,SW,CELINA,36.5427,-85.5097,3632562,8530582
201612,112568,671648,1,0.58,SSW,DODSON BRANCH,36.3124,-85.5342,3618744,8532052
201612,112568,671652,1,2.11,S,HOLLY SPGS,36.3895,-85.4015,3623370,8524090
201612,112568,671654,1,0.91,N,FALL CREEK,35.5832,-86.5506,3534992,8633036
201612,112568,671655,1,1.71,SW,RED HILL,36.6017,-85.1208,3636102,857248
201612,112568,671657,1,0.46,SSE,PALL MALL,36.5436,-84.9679,3632616,8458074
201612,112568,671676,1,2.03,E,WOLF RIVER,36.5281,-84.9335,3631686,8456010
201612,112568,671679,1,2.09,E,DOUBLE SPGS,36.1759,-85.5632,3610554,8533792
201612,112568,671681,1,0.61,E,TULLAHOMA,35.3704,-86.2192,3522224,8613152
201612,112568,671685,1,2.65,WSW,HICKERSON,35.3852,-86.1734,3523112,8610404
201612,112568,673044,1,0.52,SSW,LAGUARDO,36.2928,-86.4525,3617568,8627150
201612,112568,673044,2,0.56,SSE,LAGUARDO,36.293,-86.4449,3617580,8626694
201612,111976,667749,1,3.0,SSW,(DYR)DYERSBURG MUNI,35.9599,-89.4205,3557594,8925230
201612,111976,667749,2,1.84,NW,BONICORD,35.965,-89.3573,3557900,8921438
201612,111976,667750,1,0.25,S,RALSTON,36.3265,-88.8007,3619590,8848042
201612,111976,667750,2,0.79,ESE,RALSTON,36.3276,-88.7862,3619656,8847172
201612,111976,667751,1,2.5,NNW,GREENFIELD,36.185,-88.8117,3611100,8848702
